n,method,value,ops,time_ms
1785,memoization,4936883103657708012645104504577060603928715510966458581481511253172658646822291286089239666847791151908057751489163373324883524560737800885249906528195370454731344137157632395624152684255619615686646455480465568047471941144069077531627357451177976097603749394625615002735971939340827982706428677962944121274516311923360637869769232154000653078445747844457412043738307477410,1784,1.527200
1786,iterative,7988044660203241888260899350199005290126494477458969187309953918524570436230492439908093296314715734625443189270520825827999837639560870320842025451352264944046270305359956357733360412303162077284849530850360643007117523080893108541695752424335836005844171569860897514329566727615835878464355305940403643744151037352719931841661215759843555749001600549572269580807910208023,1785,0.327700
1786,memoization,7988044660203241888260899350199005290126494477458969187309953918524570436230492439908093296314715734625443189270520825827999837639560870320842025451352264944046270305359956357733360412303162077284849530850360643007117523080893108541695752424335836005844171569860897514329566727615835878464355305940403643744151037352719931841661215759843555749001600549572269580807910208023,1785,1.553100
1787,iterative,12924927763860949900906003854776065894055209988425427768791465171697229083052783725997332963162506886533500940759684199152883362200298671206091931979547635398777614442517588753357513096558781692971495986330826211054589464224962186073323109875513812103447920964486512517065538666956663861170783983903347765018667349276080569711430447913844208827447348394029681624546217685433,1786,0.328500
1787,memoization,12924927763860949900906003854776065894055209988425427768791465171697229083052783725997332963162506886533500940759684199152883362200298671206091931979547635398777614442517588753357513096558781692971495986330826211054589464224962186073323109875513812103447920964486512517065538666956663861170783983903347765018667349276080569711430447913844208827447348394029681624546217685433,1786,1.798800
1788,iterative,20912972424064191789166903204975071184181704465884396956101419090221799519283276165905426259477222621158944130030205024980883199839859541526933957430899900342823884747877545111090873508861943770256345517181186854061706987305855294615018862299849648109292092534347410031395105394572499739635139289843751408762818386628800501553091663673687764576448948943601951205354127893456,1787,0.329000
1788,memoization,20912972424064191789166903204975071184181704465884396956101419090221799519283276165905426259477222621158944130030205024980883199839859541526933957430899900342823884747877545111090873508861943770256345517181186854061706987305855294615018862299849648109292092534347410031395105394572499739635139289843751408762818386628800501553091663673687764576448948943601951205354127893456,1787,1.551800
1789,iterative,33837900187925141690072907059751137078236914454309824724892884261919028602336059891902759222639729507692445070789889224133766562040158212733025889410447535741601499190395133864448386605420725463227841503512013065116296451530817480688341972175363460212740013498833922548460644061529163600805923273747099173781485735904881071264522111587531973403896297337631632829900345578889,1788,0.332200
1789,memoization,33837900187925141690072907059751137078236914454309824724892884261919028602336059891902759222639729507692445070789889224133766562040158212733025889410447535741601499190395133864448386605420725463227841503512013065116296451530817480688341972175363460212740013498833922548460644061529163600805923273747099173781485735904881071264522111587531973403896297337631632829900345578889,1788,1.478500
1790,iterative,54750872611989333479239810264726208262418618920194221680994303352140828121619336057808185482116952128851389200820094249114649761880017754259959846841347436084425383938272678975539260114282669233484187020693199919178003438836672775303360834475213108322032106033181332579855749456101663340441062563590850582544304122533681572817613775261219737980345246281233584035254473472345,1789,0.325000
